history:GTC_Multisite_Inwi/Etat de la porte TME-ONE

Timestamp,Trend Flags,Status,Value
30-May-25 9:18:57 AM WEST,{start},{unackedAlarm},Fermé
30-May-25 11:19:31 AM WEST,{ },{unackedAlarm},Ouvert
30-May-25 11:21:31 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
30-May-25 1:00:04 PM WEST,{ },{unackedAlarm},Fermé
30-May-25 11:52:05 PM WEST,{ },{unackedAlarm},Ouvert
30-May-25 11:54:05 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
31-May-25 12:47:24 AM WEST,{ },{unackedAlarm},Fermé
02-Jun-25 12:25:37 PM WEST,{ },{unackedAlarm},Ouvert
02-Jun-25 12:27:37 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
02-Jun-25 12:51:51 PM WEST,{ },{unackedAlarm},Fermé
03-Jun-25 4:19:42 PM WEST,{ },{unackedAlarm},Ouvert
03-Jun-25 4:21:42 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
03-Jun-25 5:08:41 PM WEST,{ },{unackedAlarm},Fermé
12-Jun-25 11:10:52 AM WEST,{start},{unackedAlarm},Fermé
12-Jun-25 12:16:54 PM WEST,{start},{unackedAlarm},Fermé
12-Jun-25 12:26:50 PM WEST,{start},{unackedAlarm},Fermé
12-Jun-25 12:29:23 PM WEST,{start},{unackedAlarm},Fermé
14-Jun-25 4:08:23 PM WEST,{ },{unackedAlarm},Ouvert
14-Jun-25 4:09:38 PM WEST,{ },{unackedAlarm},Fermé
16-Jun-25 2:28:27 PM WEST,{ },{unackedAlarm},Ouvert
16-Jun-25 2:30:27 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
16-Jun-25 4:53:33 PM WEST,{ },{unackedAlarm},Fermé
19-Jun-25 1:01:54 PM WEST,{ },"{down,unackedAlarm}",Fermé
23-Jun-25 11:46:07 AM WEST,{start},"{down,stale}",Ouvert
23-Jun-25 11:49:50 AM WEST,{ },{stale},Ouvert
23-Jun-25 11:49:50 AM WEST,{ },{unackedAlarm},Fermé
24-Jun-25 1:05:31 AM WEST,{ },{unackedAlarm},Ouvert
24-Jun-25 1:07:31 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
24-Jun-25 2:29:28 AM WEST,{ },{unackedAlarm},Fermé
25-Jun-25 9:31:42 AM WEST,{start},{unackedAlarm},Fermé
25-Jun-25 10:03:35 AM WEST,{ },{unackedAlarm},Ouvert
25-Jun-25 10:05:35 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
25-Jun-25 4:59:17 PM WEST,{ },{unackedAlarm},Fermé
25-Jun-25 4:59:20 PM WEST,{ },{unackedAlarm},Ouvert
25-Jun-25 4:59:22 PM WEST,{ },{unackedAlarm},Fermé
25-Jun-25 4:59:29 PM WEST,{ },{unackedAlarm},Ouvert
25-Jun-25 4:59:30 PM WEST,{ },{unackedAlarm},Fermé
26-Jun-25 10:35:49 AM WEST,{ },{unackedAlarm},Ouvert
26-Jun-25 10:37:49 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
26-Jun-25 5:03:44 PM WEST,{ },{unackedAlarm},Fermé
01-Jul-25 11:20:46 AM WEST,{ },{unackedAlarm},Ouvert
01-Jul-25 11:22:46 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
01-Jul-25 4:42:37 PM WEST,{ },{unackedAlarm},Fermé
02-Jul-25 12:29:13 PM WEST,{start},{unackedAlarm},Fermé
03-Jul-25 9:44:27 AM WEST,{ },{unackedAlarm},Ouvert
03-Jul-25 9:46:27 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
03-Jul-25 4:42:49 PM WEST,{ },{unackedAlarm},Fermé
04-Jul-25 12:42:12 PM WEST,{ },{unackedAlarm},Ouvert
04-Jul-25 12:44:13 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
04-Jul-25 4:52:16 PM WEST,{ },{unackedAlarm},Fermé
04-Jul-25 4:52:17 PM WEST,{ },{unackedAlarm},Ouvert
04-Jul-25 4:52:19 PM WEST,{ },{unackedAlarm},Fermé
09-Jul-25 3:49:23 PM WEST,{start},{unackedAlarm},Fermé
09-Jul-25 5:30:36 PM WEST,{start},{unackedAlarm},Fermé
10-Jul-25 9:40:54 AM WEST,{ },{unackedAlarm},Ouvert
10-Jul-25 9:42:54 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
10-Jul-25 1:22:03 PM WEST,{ },{unackedAlarm},Fermé
10-Jul-25 1:22:56 PM WEST,{ },{unackedAlarm},Ouvert
10-Jul-25 1:23:01 PM WEST,{ },{unackedAlarm},Fermé
10-Jul-25 1:27:54 PM WEST,{ },{unackedAlarm},Ouvert
10-Jul-25 1:28:00 PM WEST,{ },{unackedAlarm},Fermé
10-Jul-25 1:44:17 PM WEST,{ },{unackedAlarm},Ouvert
10-Jul-25 1:44:23 PM WEST,{ },{unackedAlarm},Fermé
10-Jul-25 1:44:40 PM WEST,{ },{unackedAlarm},Ouvert
10-Jul-25 1:44:43 PM WEST,{ },{unackedAlarm},Fermé
10-Jul-25 1:47:48 PM WEST,{ },{unackedAlarm},Ouvert
10-Jul-25 1:47:57 PM WEST,{ },{unackedAlarm},Fermé
10-Jul-25 1:48:14 PM WEST,{ },{unackedAlarm},Ouvert
10-Jul-25 1:48:19 PM WEST,{ },{unackedAlarm},Fermé
10-Jul-25 1:50:07 PM WEST,{ },{unackedAlarm},Ouvert
10-Jul-25 1:50:13 PM WEST,{ },{unackedAlarm},Fermé
10-Jul-25 1:50:42 PM WEST,{ },{unackedAlarm},Ouvert
10-Jul-25 1:51:05 PM WEST,{ },{unackedAlarm},Fermé
10-Jul-25 1:56:14 PM WEST,{ },{unackedAlarm},Ouvert
10-Jul-25 1:56:18 PM WEST,{ },{unackedAlarm},Fermé
10-Jul-25 1:58:57 PM WEST,{ },{unackedAlarm},Ouvert
10-Jul-25 1:59:01 PM WEST,{ },{unackedAlarm},Fermé
10-Jul-25 1:59:12 PM WEST,{ },{unackedAlarm},Ouvert
10-Jul-25 2:01:12 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
10-Jul-25 3:03:01 PM WEST,{ },{unackedAlarm},Fermé
10-Jul-25 3:18:32 PM WEST,{ },{unackedAlarm},Ouvert
10-Jul-25 3:18:34 PM WEST,{ },{unackedAlarm},Fermé
11-Jul-25 9:25:13 AM WEST,{ },{unackedAlarm},Ouvert
11-Jul-25 9:25:37 AM WEST,{ },{unackedAlarm},Fermé
11-Jul-25 9:47:01 AM WEST,{ },{unackedAlarm},Ouvert
11-Jul-25 9:49:01 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
11-Jul-25 4:27:42 PM WEST,{ },{unackedAlarm},Fermé
16-Jul-25 2:20:45 PM WEST,{start},{unackedAlarm},Fermé
17-Jul-25 10:21:16 AM WEST,{ },{unackedAlarm},Ouvert
17-Jul-25 10:23:16 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
17-Jul-25 11:48:53 AM WEST,{ },{unackedAlarm},Fermé
17-Jul-25 11:49:18 AM WEST,{ },{unackedAlarm},Ouvert
17-Jul-25 11:49:20 AM WEST,{ },{unackedAlarm},Fermé
23-Jul-25 4:31:11 PM WEST,{start},{unackedAlarm},Fermé
23-Jul-25 4:41:37 PM WEST,{start},{unackedAlarm},Fermé
01-Aug-25 2:56:15 PM WEST,{ },{unackedAlarm},Ouvert
01-Aug-25 2:58:15 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
01-Aug-25 4:30:36 PM WEST,{ },{unackedAlarm},Fermé
06-Aug-25 1:07:30 PM WEST,{ },{unackedAlarm},Ouvert
06-Aug-25 1:08:16 PM WEST,{ },{unackedAlarm},Fermé
06-Aug-25 2:26:16 PM WEST,{ },{unackedAlarm},Ouvert
06-Aug-25 2:28:16 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
06-Aug-25 4:45:15 PM WEST,{ },{unackedAlarm},Fermé
07-Aug-25 3:04:45 AM WEST,{ },{unackedAlarm},Ouvert
07-Aug-25 3:06:45 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
07-Aug-25 3:59:08 AM WEST,{ },{unackedAlarm},Fermé
10-Aug-25 3:44:05 PM WEST,{start},{unackedAlarm},Fermé
11-Aug-25 12:25:41 PM WEST,{ },{unackedAlarm},Ouvert
11-Aug-25 12:27:41 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
11-Aug-25 1:50:28 PM WEST,{ },{unackedAlarm},Fermé
11-Aug-25 11:52:34 PM WEST,{ },{unackedAlarm},Ouvert
11-Aug-25 11:54:34 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
12-Aug-25 12:03:45 AM WEST,{ },{unackedAlarm},Fermé
12-Aug-25 2:37:27 PM WEST,{ },{unackedAlarm},Ouvert
12-Aug-25 2:39:27 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
12-Aug-25 3:27:25 PM WEST,{ },{unackedAlarm},Fermé
15-Aug-25 2:00:59 AM WEST,{ },{unackedAlarm},Ouvert
15-Aug-25 2:02:59 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
15-Aug-25 5:41:08 AM WEST,{ },{unackedAlarm},Fermé
25-Aug-25 9:34:01 AM WEST,{start},{unackedAlarm},Fermé
25-Aug-25 9:52:03 AM WEST,{ },{unackedAlarm},Ouvert
25-Aug-25 9:54:03 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
25-Aug-25 11:28:26 AM WEST,{start},"{alarm,unackedAlarm}",Ouvert
25-Aug-25 11:51:05 AM WEST,{ },{unackedAlarm},Fermé
