history:GTC_Multisite_Inwi/POP-VSAT Contact PORTE

Timestamp,Trend Flags,Status,Value
09-Jan-25 8:56:49 AM WEST,{start},{ok},Fermé
17-Jan-25 1:05:49 PM WEST,{start},{ok},Fermé
28-Jan-25 4:53:16 PM WEST,{start},{ok},Fermé
29-Jan-25 9:27:30 AM WEST,{start},{ok},Fermé
30-Jan-25 10:07:54 PM WEST,{start},{ok},Fermé
06-Feb-25 8:32:57 AM WEST,{ },{down},Fermé
06-Feb-25 8:37:57 AM WEST,{ },{ok},Fermé
11-Feb-25 11:37:28 AM WEST,{start},{ok},Fermé
12-Feb-25 2:26:00 AM WEST,{ },{down},Fermé
12-Feb-25 2:54:28 AM WEST,{ },{ok},Fermé
13-Feb-25 3:38:42 PM WEST,{start},{ok},Fermé
13-Feb-25 4:42:35 PM WEST,{start},{ok},Fermé
14-Feb-25 9:28:33 AM WEST,{start},{ok},Fermé
20-Feb-25 8:58:50 AM WEST,{start},{ok},Fermé
20-Feb-25 9:00:32 AM WEST,{start},{ok},Fermé
25-Feb-25 11:04:17 AM WET,{ },{ok},Ouvert
25-Feb-25 12:03:37 PM WET,{ },{ok},Fermé
25-Feb-25 12:03:57 PM WET,{ },{ok},Ouvert
25-Feb-25 12:05:36 PM WET,{ },{ok},Fermé
26-Feb-25 2:16:35 AM WET,{ },{down},Fermé
26-Feb-25 2:21:46 AM WET,{ },{ok},Fermé
28-Feb-25 1:52:58 AM WET,{ },{down},Fermé
28-Feb-25 1:58:09 AM WET,{ },{ok},Fermé
12-Mar-25 10:10:35 AM WET,{ },{ok},Ouvert
12-Mar-25 11:07:55 AM WET,{ },{ok},Fermé
14-Mar-25 10:25:13 AM WET,{ },{ok},Ouvert
14-Mar-25 10:53:33 AM WET,{ },{ok},Fermé
14-Mar-25 1:55:42 PM WET,{ },{ok},Ouvert
14-Mar-25 2:04:03 PM WET,{ },{ok},Fermé
14-Mar-25 2:04:23 PM WET,{ },{ok},Ouvert
14-Mar-25 2:07:42 PM WET,{ },{ok},Fermé
09-Apr-25 4:23:38 PM WEST,{start},{ok},Fermé
13-Apr-25 8:05:42 PM WEST,{start},{ok},Fermé
23-Apr-25 12:10:54 PM WEST,{start},{ok},Fermé
24-Apr-25 2:51:14 PM WEST,{ },{ok},Ouvert
24-Apr-25 3:06:34 PM WEST,{ },{ok},Fermé
20-May-25 9:01:32 AM WEST,{start},{ok},Fermé
23-May-25 4:15:20 PM WEST,{ },{ok},Ouvert
23-May-25 6:48:31 PM WEST,{ },{ok},Fermé
23-May-25 8:19:11 PM WEST,{ },{ok},Ouvert
23-May-25 9:42:13 PM WEST,{ },{ok},Fermé
30-May-25 4:17:44 PM WEST,{ },{ok},Ouvert
30-May-25 4:35:03 PM WEST,{ },{ok},Fermé
12-Jun-25 11:10:52 AM WEST,{start},{ok},Fermé
12-Jun-25 12:16:54 PM WEST,{start},{ok},Fermé
12-Jun-25 12:26:50 PM WEST,{start},{ok},Fermé
12-Jun-25 12:29:23 PM WEST,{start},{ok},Fermé
19-Jun-25 1:01:55 PM WEST,{ },{down},Fermé
23-Jun-25 11:46:07 AM WEST,{start},"{down,stale}",Ouvert
23-Jun-25 11:50:07 AM WEST,{ },{stale},Ouvert
23-Jun-25 11:50:07 AM WEST,{ },{ok},Fermé
24-Jun-25 2:57:11 AM WEST,{ },{ok},Ouvert
24-Jun-25 4:43:01 AM WEST,{ },{ok},Fermé
25-Jun-25 9:31:42 AM WEST,{start},{ok},Fermé
02-Jul-25 12:29:13 PM WEST,{start},{ok},Fermé
09-Jul-25 3:49:23 PM WEST,{start},{ok},Fermé
09-Jul-25 5:30:36 PM WEST,{start},{ok},Fermé
15-Jul-25 11:30:57 AM WEST,{ },{ok},Ouvert
15-Jul-25 4:17:40 PM WEST,{ },{ok},Fermé
16-Jul-25 2:20:45 PM WEST,{start},{ok},Fermé
23-Jul-25 4:31:11 PM WEST,{start},{ok},Fermé
23-Jul-25 4:41:37 PM WEST,{start},{ok},Fermé
24-Jul-25 10:26:03 AM WEST,{ },{ok},Ouvert
24-Jul-25 10:29:03 AM WEST,{ },{ok},Fermé
24-Jul-25 10:36:25 AM WEST,{ },{ok},Ouvert
24-Jul-25 11:16:07 AM WEST,{ },{ok},Fermé
10-Aug-25 3:44:05 PM WEST,{start},{ok},Fermé
18-Aug-25 8:57:04 PM WEST,{ },{down},Fermé
18-Aug-25 9:02:05 PM WEST,{ },{ok},Fermé
18-Aug-25 9:09:40 PM WEST,{ },{down},Fermé
19-Aug-25 1:37:21 AM WEST,{ },{ok},Fermé
19-Aug-25 1:49:26 AM WEST,{ },{down},Fermé
19-Aug-25 1:54:27 AM WEST,{ },{ok},Fermé
19-Aug-25 1:56:53 AM WEST,{ },{down},Fermé
19-Aug-25 2:17:59 AM WEST,{ },{ok},Fermé
19-Aug-25 2:32:09 AM WEST,{ },{down},Fermé
19-Aug-25 7:42:45 AM WEST,{ },{ok},Fermé
19-Aug-25 7:49:55 AM WEST,{ },{down},Fermé
19-Aug-25 8:00:17 AM WEST,{ },{ok},Fermé
19-Aug-25 8:03:28 AM WEST,{ },{down},Fermé
19-Aug-25 8:13:50 AM WEST,{ },{ok},Fermé
19-Aug-25 8:20:11 AM WEST,{ },{down},Fermé
19-Aug-25 8:25:12 AM WEST,{ },{ok},Fermé
19-Aug-25 8:29:32 AM WEST,{ },{down},Fermé
19-Aug-25 10:37:49 AM WEST,{ },{ok},Fermé
19-Aug-25 10:37:49 AM WEST,{ },{ok},Ouvert
19-Aug-25 11:16:24 AM WEST,{ },{down},Ouvert
19-Aug-25 11:21:25 AM WEST,{ },{ok},Ouvert
19-Aug-25 11:34:00 AM WEST,{ },{down},Ouvert
