history:GTC_Multisite_Inwi/Etat de la porte TZG_ONE

Timestamp,Trend Flags,Status,Value
20-Nov-24 6:47:31 AM WEST,{start},{unackedAlarm},Fermé
22-Nov-24 4:30:42 PM WEST,{ },"{down,unackedAlarm}",Fermé
22-Nov-24 4:35:44 PM WEST,{ },{unackedAlarm},Fermé
22-Nov-24 4:35:45 PM WEST,{ },"{stale,unackedAlarm}",Ouvert
22-Nov-24 4:35:47 PM WEST,{ },{unackedAlarm},Fermé
26-Nov-24 3:12:06 PM WEST,{ },{unackedAlarm},Ouvert
26-Nov-24 3:14:06 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
26-Nov-24 4:58:03 PM WEST,{ },{unackedAlarm},Fermé
26-Nov-24 5:04:07 PM WEST,{ },{unackedAlarm},Ouvert
26-Nov-24 5:06:07 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
26-Nov-24 5:31:24 PM WEST,{ },{unackedAlarm},Fermé
27-Nov-24 8:56:20 AM WEST,{ },{unackedAlarm},Ouvert
27-Nov-24 8:58:21 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
27-Nov-24 1:31:00 PM WEST,{ },{unackedAlarm},Fermé
27-Nov-24 2:15:04 PM WEST,{ },{unackedAlarm},Ouvert
27-Nov-24 2:17:04 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
27-Nov-24 6:08:39 PM WEST,{ },{unackedAlarm},Fermé
28-Nov-24 3:17:37 PM WEST,{ },{unackedAlarm},Ouvert
28-Nov-24 3:17:42 PM WEST,{ },{unackedAlarm},Fermé
04-Dec-24 11:25:35 AM WEST,{ },{unackedAlarm},Ouvert
04-Dec-24 11:27:35 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
04-Dec-24 12:20:16 PM WEST,{ },{unackedAlarm},Fermé
04-Dec-24 12:20:41 PM WEST,{ },{unackedAlarm},Ouvert
04-Dec-24 12:20:42 PM WEST,{ },{unackedAlarm},Fermé
05-Dec-24 9:28:49 AM WEST,{ },{unackedAlarm},Ouvert
05-Dec-24 9:30:49 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
05-Dec-24 11:10:20 AM WEST,{ },{unackedAlarm},Fermé
05-Dec-24 11:10:54 AM WEST,{ },{unackedAlarm},Ouvert
05-Dec-24 11:12:54 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
05-Dec-24 11:33:02 AM WEST,{ },"{down,alarm,unackedAlarm}",Ouvert
05-Dec-24 1:14:15 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
05-Dec-24 1:14:16 PM WEST,{ },"{fault,alarm,unackedAlarm}",Ouvert
10-Dec-24 12:11:11 PM WEST,{ },{unackedAlarm},Fermé
20-Dec-24 9:57:16 AM WEST,{ },{unackedAlarm},Ouvert
20-Dec-24 9:59:16 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
20-Dec-24 10:17:41 AM WEST,{ },{unackedAlarm},Fermé
20-Dec-24 10:17:42 AM WEST,{ },{unackedAlarm},Ouvert
20-Dec-24 10:19:42 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
20-Dec-24 10:51:53 AM WEST,{ },{unackedAlarm},Fermé
20-Dec-24 1:34:47 PM WEST,{ },{unackedAlarm},Ouvert
20-Dec-24 1:36:47 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
20-Dec-24 1:41:53 PM WEST,{ },{unackedAlarm},Fermé
20-Dec-24 8:29:17 PM WEST,{ },{unackedAlarm},Ouvert
20-Dec-24 8:31:17 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
20-Dec-24 9:22:39 PM WEST,{ },{unackedAlarm},Fermé
23-Dec-24 11:39:46 PM WEST,{ },{unackedAlarm},Ouvert
23-Dec-24 11:41:46 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
24-Dec-24 12:56:06 AM WEST,{ },{unackedAlarm},Fermé
24-Dec-24 12:56:23 AM WEST,{ },{unackedAlarm},Ouvert
24-Dec-24 12:56:50 AM WEST,{ },{unackedAlarm},Fermé
24-Dec-24 12:56:55 AM WEST,{ },{unackedAlarm},Ouvert
24-Dec-24 12:57:07 AM WEST,{ },{unackedAlarm},Fermé
25-Dec-24 4:54:27 PM WEST,{ },{unackedAlarm},Ouvert
25-Dec-24 4:56:27 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
25-Dec-24 6:08:59 PM WEST,{ },{unackedAlarm},Fermé
25-Dec-24 6:38:49 PM WEST,{ },{unackedAlarm},Ouvert
25-Dec-24 6:40:49 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
25-Dec-24 6:42:15 PM WEST,{ },{unackedAlarm},Fermé
26-Dec-24 1:50:28 PM WEST,{ },{unackedAlarm},Ouvert
26-Dec-24 1:52:28 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
26-Dec-24 2:38:05 PM WEST,{ },{unackedAlarm},Fermé
27-Dec-24 5:27:06 PM WEST,{ },{unackedAlarm},Ouvert
27-Dec-24 5:29:06 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
27-Dec-24 6:15:04 PM WEST,{ },{unackedAlarm},Fermé
08-Jan-25 1:38:46 AM WEST,{ },{unackedAlarm},Ouvert
08-Jan-25 1:40:46 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
08-Jan-25 3:20:45 AM WEST,{ },{unackedAlarm},Fermé
08-Jan-25 3:20:46 AM WEST,{ },{unackedAlarm},Ouvert
08-Jan-25 3:21:03 AM WEST,{ },{unackedAlarm},Fermé
08-Jan-25 3:22:50 AM WEST,{ },{unackedAlarm},Ouvert
08-Jan-25 3:23:38 AM WEST,{ },{unackedAlarm},Fermé
10-Jan-25 5:05:26 PM WEST,{ },{unackedAlarm},Ouvert
10-Jan-25 5:07:27 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
10-Jan-25 5:14:48 PM WEST,{ },"{down,alarm,unackedAlarm}",Ouvert
10-Jan-25 5:46:20 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
10-Jan-25 5:46:21 PM WEST,{ },"{alarm,stale,unackedAlarm}",Ouvert
10-Jan-25 5:46:22 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
10-Jan-25 5:57:50 PM WEST,{ },{unackedAlarm},Fermé
10-Jan-25 5:58:03 PM WEST,{ },{unackedAlarm},Ouvert
10-Jan-25 6:00:03 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
10-Jan-25 6:56:23 PM WEST,{ },{unackedAlarm},Fermé
17-Jan-25 1:05:49 PM WEST,{start},{unackedAlarm},Fermé
28-Jan-25 4:53:16 PM WEST,{start},{unackedAlarm},Fermé
29-Jan-25 9:27:30 AM WEST,{start},{unackedAlarm},Fermé
30-Jan-25 10:07:54 PM WEST,{start},{unackedAlarm},Fermé
04-Feb-25 12:32:55 PM WEST,{ },{ok},Fermé
11-Feb-25 11:37:27 AM WEST,{start},{ok},Fermé
