history:GTC_Multisite_Inwi/Etat de la Porte BER_ONE

Timestamp,Trend Flags,Status,Value
19-Nov-24 12:20:56 PM WEST,{start},{unackedAlarm},Fermé
26-Nov-24 11:23:12 AM WEST,{ },{unackedAlarm},Ouvert
26-Nov-24 11:25:12 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
26-Nov-24 12:35:18 PM WEST,{ },{unackedAlarm},Fermé
26-Nov-24 1:46:14 PM WEST,{ },{unackedAlarm},Ouvert
26-Nov-24 1:48:15 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
26-Nov-24 2:19:45 PM WEST,{ },{unackedAlarm},Fermé
26-Nov-24 2:19:50 PM WEST,{ },{unackedAlarm},Ouvert
26-Nov-24 2:21:51 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
26-Nov-24 4:41:49 PM WEST,{ },"{down,alarm,unackedAlarm}",Ouvert
27-Nov-24 12:10:29 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
27-Nov-24 12:10:30 PM WEST,{ },"{alarm,stale,unackedAlarm}",Ouvert
27-Nov-24 12:10:31 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
27-Nov-24 3:47:45 PM WEST,{ },{unackedAlarm},Fermé
27-Nov-24 4:03:08 PM WEST,{ },"{down,unackedAlarm}",Fermé
27-Nov-24 4:09:34 PM WEST,{ },{unackedAlarm},Fermé
27-Nov-24 4:09:34 PM WEST,{ },"{stale,unackedAlarm}",Ouvert
27-Nov-24 4:09:36 PM WEST,{ },{unackedAlarm},Fermé
27-Nov-24 4:38:42 PM WEST,{ },{ok},Fermé
28-Nov-24 1:26:24 AM WEST,{ },{ok},Ouvert
28-Nov-24 1:28:24 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
28-Nov-24 4:30:38 AM WEST,{ },{unackedAlarm},Fermé
28-Nov-24 4:28:02 PM WEST,{ },{unackedAlarm},Ouvert
28-Nov-24 4:30:03 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
28-Nov-24 4:45:54 PM WEST,{ },{unackedAlarm},Fermé
30-Nov-24 6:49:05 PM WEST,{ },{unackedAlarm},Ouvert
30-Nov-24 6:51:05 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
30-Nov-24 6:52:31 PM WEST,{ },{unackedAlarm},Fermé
30-Nov-24 6:59:05 PM WEST,{ },{unackedAlarm},Ouvert
30-Nov-24 6:59:24 PM WEST,{ },{unackedAlarm},Fermé
30-Nov-24 6:59:38 PM WEST,{ },{unackedAlarm},Ouvert
30-Nov-24 7:00:10 PM WEST,{ },{unackedAlarm},Fermé
30-Nov-24 7:00:20 PM WEST,{ },{unackedAlarm},Ouvert
30-Nov-24 7:00:38 PM WEST,{ },{unackedAlarm},Fermé
30-Nov-24 7:00:47 PM WEST,{ },{unackedAlarm},Ouvert
30-Nov-24 7:01:04 PM WEST,{ },{unackedAlarm},Fermé
30-Nov-24 7:01:22 PM WEST,{ },{unackedAlarm},Ouvert
30-Nov-24 7:01:36 PM WEST,{ },{unackedAlarm},Fermé
02-Dec-24 3:29:56 PM WEST,{ },{unackedAlarm},Ouvert
02-Dec-24 3:31:57 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
02-Dec-24 3:51:13 PM WEST,{ },{unackedAlarm},Fermé
03-Dec-24 5:51:12 PM WEST,{ },{unackedAlarm},Ouvert
03-Dec-24 5:53:12 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
03-Dec-24 6:12:41 PM WEST,{ },{unackedAlarm},Fermé
03-Dec-24 6:12:43 PM WEST,{ },{unackedAlarm},Ouvert
03-Dec-24 6:14:06 PM WEST,{ },{unackedAlarm},Fermé
03-Dec-24 6:14:09 PM WEST,{ },{unackedAlarm},Ouvert
03-Dec-24 6:14:10 PM WEST,{ },{unackedAlarm},Fermé
03-Dec-24 6:14:12 PM WEST,{ },{unackedAlarm},Ouvert
03-Dec-24 6:14:13 PM WEST,{ },{unackedAlarm},Fermé
03-Dec-24 6:14:17 PM WEST,{ },{unackedAlarm},Ouvert
03-Dec-24 6:14:21 PM WEST,{ },{unackedAlarm},Fermé
03-Dec-24 6:14:30 PM WEST,{ },{unackedAlarm},Ouvert
03-Dec-24 6:14:32 PM WEST,{ },{unackedAlarm},Fermé
03-Dec-24 6:14:38 PM WEST,{ },{unackedAlarm},Ouvert
03-Dec-24 6:14:42 PM WEST,{ },{unackedAlarm},Fermé
03-Dec-24 6:14:47 PM WEST,{ },{unackedAlarm},Ouvert
03-Dec-24 6:14:52 PM WEST,{ },{unackedAlarm},Fermé
03-Dec-24 6:14:54 PM WEST,{ },{unackedAlarm},Ouvert
03-Dec-24 6:15:13 PM WEST,{ },{unackedAlarm},Fermé
03-Dec-24 6:15:20 PM WEST,{ },{unackedAlarm},Ouvert
03-Dec-24 6:15:22 PM WEST,{ },{unackedAlarm},Fermé
06-Dec-24 1:07:36 PM WEST,{ },{unackedAlarm},Ouvert
06-Dec-24 1:07:59 PM WEST,{ },{unackedAlarm},Fermé
06-Dec-24 1:08:13 PM WEST,{ },{unackedAlarm},Ouvert
06-Dec-24 1:09:17 PM WEST,{ },{unackedAlarm},Fermé
06-Dec-24 2:40:16 PM WEST,{ },{unackedAlarm},Ouvert
06-Dec-24 2:42:16 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
06-Dec-24 2:43:36 PM WEST,{ },{unackedAlarm},Fermé
10-Dec-24 12:15:05 AM WEST,{ },{unackedAlarm},Ouvert
10-Dec-24 12:15:31 AM WEST,{ },{unackedAlarm},Fermé
10-Dec-24 12:38:19 AM WEST,{ },"{down,unackedAlarm}",Fermé
10-Dec-24 12:53:46 AM WEST,{ },{unackedAlarm},Fermé
10-Dec-24 12:53:46 AM WEST,{ },"{stale,unackedAlarm}",Ouvert
10-Dec-24 12:53:48 AM WEST,{ },{unackedAlarm},Fermé
10-Dec-24 1:13:23 AM WEST,{ },{unackedAlarm},Ouvert
10-Dec-24 1:13:31 AM WEST,{ },{unackedAlarm},Fermé
10-Dec-24 1:52:50 AM WEST,{ },{unackedAlarm},Ouvert
10-Dec-24 1:52:52 AM WEST,{ },{unackedAlarm},Fermé
10-Dec-24 1:52:59 AM WEST,{ },{unackedAlarm},Ouvert
10-Dec-24 1:53:02 AM WEST,{ },{unackedAlarm},Fermé
10-Dec-24 1:53:10 AM WEST,{ },{unackedAlarm},Ouvert
10-Dec-24 1:53:11 AM WEST,{ },{unackedAlarm},Fermé
10-Dec-24 1:53:12 AM WEST,{ },{unackedAlarm},Ouvert
10-Dec-24 1:53:13 AM WEST,{ },{unackedAlarm},Fermé
10-Dec-24 1:53:33 AM WEST,{ },{unackedAlarm},Ouvert
10-Dec-24 1:53:34 AM WEST,{ },{unackedAlarm},Fermé
10-Dec-24 1:54:23 AM WEST,{ },{unackedAlarm},Ouvert
10-Dec-24 1:54:24 AM WEST,{ },{unackedAlarm},Fermé
10-Dec-24 1:54:50 AM WEST,{ },{unackedAlarm},Ouvert
10-Dec-24 1:54:51 AM WEST,{ },{unackedAlarm},Fermé
10-Dec-24 1:55:05 AM WEST,{ },{unackedAlarm},Ouvert
10-Dec-24 1:55:07 AM WEST,{ },{unackedAlarm},Fermé
10-Dec-24 1:55:49 AM WEST,{ },{unackedAlarm},Ouvert
10-Dec-24 1:55:50 AM WEST,{ },{unackedAlarm},Fermé
10-Dec-24 1:56:05 AM WEST,{ },{unackedAlarm},Ouvert
10-Dec-24 1:56:07 AM WEST,{ },{unackedAlarm},Fermé
10-Dec-24 1:57:32 AM WEST,{ },{unackedAlarm},Ouvert
10-Dec-24 1:57:35 AM WEST,{ },{unackedAlarm},Fermé
10-Dec-24 1:57:40 AM WEST,{ },{unackedAlarm},Ouvert
10-Dec-24 1:58:01 AM WEST,{ },{unackedAlarm},Fermé
11-Dec-24 1:22:32 PM WEST,{ },{unackedAlarm},Ouvert
11-Dec-24 1:24:33 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
11-Dec-24 1:25:08 PM WEST,{ },{unackedAlarm},Fermé
11-Dec-24 2:18:07 PM WEST,{ },{unackedAlarm},Ouvert
11-Dec-24 2:18:35 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:18:23 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:20:23 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
18-Dec-24 1:34:56 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:35:17 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:35:29 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:35:32 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:37:07 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:37:35 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:37:41 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:37:53 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:39:53 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
18-Dec-24 1:40:24 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:40:29 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:40:36 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:40:42 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:41:02 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:41:05 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:41:07 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:41:08 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:41:30 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:41:36 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:41:42 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:41:58 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:42:40 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:42:44 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:43:09 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:43:21 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:43:28 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:43:45 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:44:12 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:44:16 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:46:16 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
18-Dec-24 1:48:12 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:48:18 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:49:56 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:49:59 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:50:01 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:50:08 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:50:24 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:50:27 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:52:27 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
18-Dec-24 1:52:51 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:52:57 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:53:03 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:53:07 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:54:14 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:54:24 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:54:51 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:55:02 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:55:11 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 1:55:15 PM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 1:56:12 PM WEST,{ },{unackedAlarm},Fermé
31-Dec-24 1:46:42 PM WEST,{ },{unackedAlarm},Ouvert
31-Dec-24 1:48:43 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
31-Dec-24 1:53:49 PM WEST,{ },"{down,alarm,unackedAlarm}",Ouvert
31-Dec-24 3:02:34 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
