history:GTC_Multisite_Inwi/OUJ-ONE Contact PORTE

Timestamp,Trend Flags,Status,Value
08-Jan-25 12:43:27 PM WEST,{start},{ok},Fermé
09-Jan-25 1:46:04 PM WEST,{ },{ok},Ouvert
09-Jan-25 3:04:25 PM WEST,{ },{ok},Fermé
10-Jan-25 10:45:21 AM WEST,{ },{ok},Ouvert
10-Jan-25 12:05:01 PM WEST,{ },{ok},Fermé
15-Jan-25 1:54:14 PM WEST,{ },{ok},Ouvert
15-Jan-25 3:47:34 PM WEST,{ },{ok},Fermé
17-Jan-25 10:14:55 AM WEST,{ },{ok},Ouvert
17-Jan-25 1:05:49 PM WEST,{start},{ok},Ouvert
17-Jan-25 1:16:12 PM WEST,{ },{ok},Fermé
17-Jan-25 1:43:21 PM WEST,{ },{ok},Ouvert
17-Jan-25 3:00:28 PM WEST,{ },{ok},Fermé
17-Jan-25 7:15:47 PM WEST,{ },{ok},Ouvert
17-Jan-25 7:17:06 PM WEST,{ },{ok},Fermé
20-Jan-25 11:55:00 AM WEST,{ },{ok},Ouvert
20-Jan-25 12:28:20 PM WEST,{ },{ok},Fermé
20-Jan-25 4:21:56 PM WEST,{ },{ok},Ouvert
20-Jan-25 4:34:34 PM WEST,{ },{ok},Fermé
22-Jan-25 2:07:27 PM WEST,{ },{ok},Ouvert
22-Jan-25 3:26:26 PM WEST,{ },{ok},Fermé
28-Jan-25 4:53:16 PM WEST,{start},{ok},Fermé
29-Jan-25 9:27:30 AM WEST,{start},{ok},Fermé
30-Jan-25 10:07:54 PM WEST,{start},{ok},Fermé
31-Jan-25 2:43:12 PM WEST,{ },{ok},Ouvert
31-Jan-25 3:35:42 PM WEST,{ },{ok},Fermé
06-Feb-25 1:16:45 PM WEST,{ },{ok},Ouvert
06-Feb-25 1:39:35 PM WEST,{ },{ok},Fermé
06-Feb-25 1:40:09 PM WEST,{ },{ok},Ouvert
06-Feb-25 1:40:27 PM WEST,{ },{ok},Fermé
11-Feb-25 11:37:28 AM WEST,{start},{ok},Fermé
12-Feb-25 2:26:03 AM WEST,{ },{down},Fermé
12-Feb-25 2:54:27 AM WEST,{ },{ok},Fermé
13-Feb-25 1:54:58 PM WEST,{ },{ok},Ouvert
13-Feb-25 3:19:14 PM WEST,{ },{ok},Fermé
13-Feb-25 3:38:42 PM WEST,{start},{ok},Fermé
13-Feb-25 4:42:35 PM WEST,{start},{ok},Fermé
14-Feb-25 9:28:34 AM WEST,{start},{ok},Fermé
20-Feb-25 8:58:50 AM WEST,{start},{ok},Ouvert
20-Feb-25 8:58:53 AM WEST,{ },{ok},Fermé
20-Feb-25 9:00:32 AM WEST,{start},{ok},Fermé
21-Feb-25 10:29:38 AM WEST,{ },{ok},Ouvert
21-Feb-25 10:30:34 AM WEST,{ },{ok},Fermé
21-Feb-25 6:26:14 PM WEST,{ },{ok},Ouvert
21-Feb-25 6:51:29 PM WEST,{ },{ok},Fermé
25-Feb-25 2:55:11 PM WET,{ },{ok},Ouvert
25-Feb-25 3:40:19 PM WET,{ },{ok},Fermé
28-Feb-25 1:52:55 AM WET,{ },{down},Fermé
28-Feb-25 1:58:02 AM WET,{ },{ok},Fermé
07-Mar-25 12:42:54 PM WET,{ },{down},Fermé
07-Mar-25 12:52:58 PM WET,{ },{ok},Fermé
07-Mar-25 12:52:58 PM WET,{ },{stale},Ouvert
07-Mar-25 12:53:00 PM WET,{ },{ok},Fermé
07-Mar-25 1:08:40 PM WET,{ },{down},Fermé
07-Mar-25 1:13:42 PM WET,{ },{ok},Fermé
07-Mar-25 1:13:42 PM WET,{ },{stale},Ouvert
07-Mar-25 1:13:44 PM WET,{ },{ok},Fermé
11-Mar-25 11:04:44 AM WET,{ },{ok},Ouvert
11-Mar-25 11:10:10 AM WET,{ },{ok},Fermé
11-Mar-25 11:10:22 AM WET,{ },{ok},Ouvert
11-Mar-25 11:11:51 AM WET,{ },{ok},Fermé
11-Mar-25 11:41:39 AM WET,{ },{ok},Ouvert
11-Mar-25 11:42:48 AM WET,{ },{ok},Fermé
11-Mar-25 11:49:08 AM WET,{ },{ok},Ouvert
11-Mar-25 11:55:06 AM WET,{ },{ok},Fermé
