history:GTC_Multisite_Inwi/Etat de la porte AZR-ONE

Timestamp,Trend Flags,Status,Value
02-Jun-25 11:02:00 AM WEST,{start},"{fault,stale}",Fermé
02-Jun-25 11:31:51 AM WEST,{ },{ok},Fermé
12-Jun-25 11:10:52 AM WEST,{start},{ok},Fermé
12-Jun-25 12:16:54 PM WEST,{start},{ok},Fermé
12-Jun-25 12:26:50 PM WEST,{start},{ok},Fermé
12-Jun-25 12:29:23 PM WEST,{start},{ok},Fermé
19-Jun-25 1:01:55 PM WEST,{ },{down},Fermé
23-Jun-25 11:46:07 AM WEST,{start},"{down,stale}",Ouvert
23-Jun-25 11:50:12 AM WEST,{ },{stale},Ouvert
23-Jun-25 11:50:12 AM WEST,{ },{ok},Fermé
25-Jun-25 9:31:43 AM WEST,{start},{ok},Fermé
26-Jun-25 1:20:34 AM WEST,{ },{ok},Ouvert
26-Jun-25 1:53:53 AM WEST,{ },{ok},Fermé
26-Jun-25 9:38:03 AM WEST,{ },{ok},Ouvert
26-Jun-25 2:42:16 PM WEST,{ },{ok},Fermé
26-Jun-25 2:45:33 PM WEST,{ },{ok},Ouvert
26-Jun-25 2:45:45 PM WEST,{ },{ok},Fermé
02-Jul-25 12:29:13 PM WEST,{start},{ok},Fermé
09-Jul-25 3:49:23 PM WEST,{start},{ok},Fermé
09-Jul-25 5:30:36 PM WEST,{start},{ok},Fermé
15-Jul-25 10:56:07 AM WEST,{ },{ok},Ouvert
15-Jul-25 12:17:48 PM WEST,{ },{ok},Fermé
16-Jul-25 2:20:45 PM WEST,{start},{ok},Fermé
22-Jul-25 2:14:35 PM WEST,{ },{ok},Ouvert
22-Jul-25 2:31:25 PM WEST,{ },{ok},Fermé
22-Jul-25 2:31:50 PM WEST,{ },{ok},Ouvert
22-Jul-25 3:50:50 PM WEST,{ },{ok},Fermé
22-Jul-25 3:55:54 PM WEST,{ },{ok},Ouvert
22-Jul-25 3:57:11 PM WEST,{ },{ok},Fermé
22-Jul-25 4:29:58 PM WEST,{ },{ok},Ouvert
22-Jul-25 4:30:02 PM WEST,{ },{ok},Fermé
22-Jul-25 4:31:24 PM WEST,{ },{ok},Ouvert
22-Jul-25 4:31:27 PM WEST,{ },{ok},Fermé
22-Jul-25 4:37:39 PM WEST,{ },{ok},Ouvert
22-Jul-25 4:38:01 PM WEST,{ },{ok},Fermé
22-Jul-25 4:39:10 PM WEST,{ },{ok},Ouvert
22-Jul-25 4:39:18 PM WEST,{ },{ok},Fermé
22-Jul-25 4:43:08 PM WEST,{ },{ok},Ouvert
22-Jul-25 4:47:20 PM WEST,{ },{ok},Fermé
23-Jul-25 4:31:11 PM WEST,{start},{ok},Fermé
23-Jul-25 4:41:37 PM WEST,{start},{ok},Fermé
24-Jul-25 1:49:45 PM WEST,{ },{ok},Ouvert
24-Jul-25 1:53:58 PM WEST,{ },{ok},Fermé
06-Aug-25 6:36:25 PM WEST,{ },{ok},Ouvert
06-Aug-25 10:28:42 PM WEST,{ },{ok},Fermé
10-Aug-25 3:44:05 PM WEST,{start},{ok},Fermé
